Pitcher,PitcherTeam,Overall_StuffPlus,Overall_PitchingPlus,Total_Pitches,Num_Pitch_Types,Avg_Velocity,Avg_Extension
Kyle Lewis,CHA_BUC,106.4,109.0,497,8,84.7,5.6
Luke Gainer,UNO_MAV,104.9,109.0,376,7,77.9,5.6
Dominic Monaco,WES_HIL,101.9,109.0,109,5,86.2,6.1
Maquire Wakelyn,UNI_PIK,93.1,109.0,17,4,79.9,5.5
Logan Saloman,NEV_WOL,104.9,109.0,574,6,83.7,6.2
Sebastian Gonzalez,HAW_WAR,103.3,109.0,193,7,84.1,5.5
Brendan Parks,UNI_WES,104.0,109.0,93,5,82.4,5.4
Mason Bixby,TCU_HFG,117.5,109.0,276,6,92.4,6.3
Lance Santerre,SAN_DON,106.2,109.0,813,5,83.5,6.4
Braydon Gray,LON_LAN,93.7,109.0,127,4,78.7,5.3
Trace Baker,UNC_SEA,104.2,109.0,773,11,88.4,6.3
Kevin Figueredo,AVE_MAR,108.4,109.0,432,5,84.5,5.3
Eli Cartwright,EIU_PAN,118.0,109.0,274,5,89.0,6.3
Zakary Sigman,OSU_BUC,104.7,109.0,300,7,85.2,6.0
Rhys Bowie,WAK_DEA,114.6,109.0,261,5,91.2,5.9
Chris Diaz,FGCU,110.6,109.0,618,7,86.5,5.5
Cooper Harrington,LIB_FLA,110.5,109.0,625,9,88.6,6.5
Tyler Phenow,TCU_HFG,102.9,109.0,12,2,87.2,6.8
Cj Van Slooten,CIT_BUL,109.1,109.0,304,8,86.0,6.3
Jack Pletter,BRY_BUL,99.2,109.0,148,4,78.6,5.8
Raul Garayzar,ARI_WIL,105.6,109.0,719,8,88.8,6.0
Conner Ware,LSU_TIG,120.5,109.0,415,5,86.9,6.1
Landry Mead,GEO_EAG,98.8,109.0,136,5,81.8,5.9
Nic Abraham,TEN_VOL,97.6,108.9,75,5,85.3,5.4
Brandon Cain,OKL_SOO,115.8,108.9,24,3,88.9,5.3
Carson Seeman,IND_SYC,98.9,108.9,411,6,83.8,5.7
Dominic Mauro,NOR_UNI,109.5,108.9,32,4,91.6,6.1
Ashton Branson,DAL_PAT,110.2,108.9,360,7,84.1,5.8
Dusty Revis,WCC,105.0,108.9,1091,7,88.9,6.1
Nolan Kubilus,YSU_PEN,95.9,108.9,12,3,80.6,5.2
Andres Perez,HOU_COU,101.3,108.9,339,7,83.0,5.0
Ashton Crowther,SOU_GAM,102.1,108.9,529,6,87.6,5.2
Andrew Krodel,SAN_GAU,115.8,108.9,447,8,85.1,6.2
Jamie Hitt,OKL_SOO,105.5,108.9,419,8,90.0,5.4
Kaden Echeman,NOK_NOR,116.4,108.9,436,6,87.7,5.8
Braden Hofmeyer,WOF_TER,104.5,108.9,95,3,83.3,5.4
Colter McAnelly,UTA_UTE,104.5,108.9,1266,9,85.3,5.9
Trevor Geddes,IU,122.1,108.9,36,3,79.5,5.2
Donte Lewis,KAN_WIL,111.4,108.9,268,6,89.4,5.8
Nathan Melby,AUG_COL,92.8,108.9,16,2,84.4,6.1
Jalen Worthley,NEB,99.7,108.9,269,4,85.9,5.6
Sam Hliboki,NOR_CAT,98.1,108.9,1180,7,82.8,6.1
Aubrey Smith,UNC_SEA,110.1,108.9,598,8,88.7,6.0
Dylan Carter,ARK_RAZ,115.2,108.9,452,6,91.2,5.4
Lucas Moore,GAL_WCS,100.1,108.9,79,4,83.8,6.4
Payton Manca,FLO_SEM,116.0,108.9,390,6,87.1,5.9
Tucker Starling,COL_CUG,90.5,108.9,48,3,80.3,6.0
Brendan Sweeney,SOU_GAM,111.1,108.8,462,5,89.2,5.8
Paul Arencibia,AVE_MAR,89.0,108.8,39,5,78.6,5.0
Landon Marchetti,CSD_TRI,110.3,108.8,196,4,84.1,5.8
Matt Hubbard,TOL_ROC,117.9,108.8,25,3,82.8,5.6
Grant Cleavinger,NEB,109.3,108.8,218,5,87.0,5.4
Brayden Gilley,WIN_EAG,105.2,108.8,598,6,84.0,5.9
Caden Aoki,SOU_TRO,97.7,108.8,1219,10,83.2,5.7
Austin Newton,USF_BUL,110.0,108.8,200,5,90.6,5.4
Carter Benbrook,TUL_GRE,102.4,108.8,512,7,80.8,5.3
Brodie Purcell,SOU_TRO,114.1,108.8,572,7,86.7,5.6
Alexander Galvan,UCF_KNI,109.9,108.8,388,7,90.1,6.1
Stone Cushing,BYU_COU,113.7,108.8,308,7,86.2,5.1
Aiden Sims,TEX_AGG,107.1,108.8,202,4,86.4,5.6
Judah Buckner,UNI_WES1,101.3,108.8,31,2,84.9,5.4
Jaylen Paden,GIT_YEL,115.0,108.8,717,6,89.3,5.5
Connor Kelley,UTS_ROA,113.0,108.7,513,6,90.3,6.7
Ryan Borberg,DAL_PAT,105.7,108.7,1047,8,86.6,5.8
Bradley Hodges,VIR_CAV,114.6,108.7,501,8,86.2,5.2
Peyton Young,CAT_VAL1,95.0,108.7,15,2,78.6,5.0
Drew Blake,OKL_COW,107.1,108.7,349,10,87.3,5.7
Van Froling,SAN_GAU,106.1,108.7,302,7,84.3,5.3
Grant Shepherd,WIN_EAG,100.4,108.7,117,3,81.7,5.4
Evan Parmer,VIR_KEY,104.5,108.7,684,7,87.5,5.6
Matt Viveros,MSA_M,98.2,108.7,25,4,84.0,5.5
Kyle Kipp,BOC_EAG,103.2,108.7,599,9,86.6,5.5
Benny Roebuck,KS_GF,104.8,108.7,162,4,85.4,5.3
Alek Trukki,SAN_FRA3,101.1,108.7,71,4,78.5,6.0
Leeroy Tavarez,TEX_TIG,103.3,108.7,69,6,85.6,5.9
Stefan Stahl,BAY_BEA,104.3,108.7,300,7,82.5,5.4
Matt Potok,COA_CHA,100.3,108.7,377,5,89.8,6.3
Diego Gutierrez,CAL_MAT,111.6,108.7,1301,8,83.4,5.8
Tait Karlson,PAL_COM,94.8,108.7,44,4,80.8,5.7
Carter Walker,HUN_UNI,91.6,108.7,17,2,79.5,5.5
Truitt Webb,SOU_LIO,107.8,108.7,338,5,88.1,6.3
Jack Cebert,TEX_RAI,101.2,108.7,880,9,88.3,6.5
Jack Pineau,CRE_BLU,114.9,108.7,496,6,88.3,5.3
Kanoa Morisaki,CSU_BAK,101.7,108.7,281,5,86.1,6.2
Patrick Gardner,PIT_PAN,108.4,108.6,1097,8,84.8,5.6
Jaxon Lloyd,VIR_KEY,103.2,108.6,851,9,81.1,5.8
Jack Bennett,WES_HIL,98.8,108.6,893,8,85.0,6.3
Carter Doorn,PUR_BOI,110.4,108.6,909,6,86.1,6.4
John Abraham,FLO_SEM,113.7,108.6,581,7,87.6,5.6
Will Smith,MIA_HUR,112.7,108.6,375,6,85.0,4.5
Boede Rahe,KIR_COM,102.1,108.6,102,4,82.9,4.0
Jacob Vogel,IU,101.3,108.6,190,5,86.1,6.3
Russell Sandefer,UCF_KNI,108.4,108.6,315,6,87.0,6.1
Timothy Teixeira,SOU_COU,106.1,108.6,694,10,86.9,5.8
Dominic Castellano,UCF_KNI,106.9,108.6,714,6,85.1,5.7
Ben VanMaanen,ARK_LIO,84.6,108.6,9,2,77.3,5.7
Brady Koester,NOT_IRI,119.2,108.6,197,5,87.2,5.7
Dylan Siesky,RIC_SPI,110.4,108.6,202,4,88.4,6.1
Brycen Parrish,ALA_LIO,106.0,108.6,488,8,84.4,5.9
Zach Garcia,TEX_ISL,100.7,108.6,401,7,81.0,5.9
Carson Cormier,TCU_HFG,96.4,108.6,117,5,85.7,6.4
Sean Davis,ION_GAE,93.8,108.6,18,3,81.9,5.1
Porter Braddy,UNC_SEA,102.5,108.6,76,4,84.6,6.0
Logan Grubb,KEN_WIL,116.3,108.6,28,4,88.1,5.4
RJ Shunck,TOL_ROC,109.4,108.6,415,5,87.8,6.0
Tyler Castrataro,HOF_PRI,105.8,108.5,85,5,82.4,6.2
Jase Evangelista,WAS_HUS,100.4,108.5,92,5,84.6,6.2
Max Tripure,WIU_LEA,98.3,108.5,276,6,85.4,5.7
J.D. Ogden,BOC_EAG,106.1,108.5,580,8,90.5,5.5
Hayden Murphy,AUB_TIG,113.3,108.5,170,5,92.3,7.2
Luke Hoskins,XAV_MUS,105.5,108.5,841,6,87.9,6.7
Eric Elliott,JAC_TIG,103.5,108.5,132,6,79.2,6.0
Coron Davis,SHO_UNI,104.8,108.5,41,3,89.3,5.9
Brennan Phillips,OKL_COW,102.3,108.5,221,8,84.1,5.1
Zachary Lyles,WES_HIL,110.1,108.5,493,6,87.1,5.7
Collin Clarke,ORE_DUC,104.1,108.5,1064,8,84.2,5.9
Zachary Brown,GEO_BUL,105.9,108.5,206,7,88.0,6.8
Brayton Thomas,IU,114.4,108.5,265,7,82.9,6.4
Jon McCullough,SET_HIL,99.8,108.5,283,8,86.3,5.7
Victor Arreola,FRE_BUL,104.0,108.5,120,5,84.3,6.2
Gavin Mangus,OHI_DOM,89.2,108.5,34,3,77.9,5.9
Ethan Nowak,UMA_BOS,97.7,108.5,14,3,79.4,6.2
Brady Dockan,CAL_FUL,94.8,108.5,376,7,78.0,6.1
Gavin Williams,SEM_STA,88.6,108.5,22,3,78.6,6.3
Tanner Lyne,LIP_BIS,103.3,108.4,615,8,83.3,5.8
Zack Bennett,EMB_EAG,106.1,108.4,74,3,86.4,6.2
Hudson Barrett,SAN_GAU,111.9,108.4,65,4,86.7,6.6
Billy Rozakis,GAR_RUN,86.7,108.4,25,4,78.6,5.8
John Chambers,BAL_CAR,105.8,108.4,186,6,82.5,5.7
Ian Umlandt,ORE_DUC,102.6,108.4,695,8,82.5,6.0
Luke Jones,COA_CHA,105.7,108.4,639,8,85.5,5.5
Patrick Collopy,TEM_LEO,100.5,108.4,79,3,87.2,6.5
Brayden Sanders,MT,116.3,108.4,306,7,90.3,5.1
Hayden Thomas,COL_CHA,105.6,108.4,753,4,84.8,5.8
Grant Hartley,GRA_COL,98.5,108.4,26,3,78.1,6.0
Radek Birkholz,NOT_IRI,118.4,108.4,43,4,86.6,6.0
Grant Adams,WES_FLO5,96.0,108.4,47,3,85.4,5.7
Sergio Droz,UMBC_RET,106.3,108.4,253,3,83.4,5.8
Lance Williams,ECU_PIR,114.0,108.4,604,7,90.0,6.1
Jayden Barroqueiro,JMU_DUK,104.2,108.4,223,7,85.0,5.0
Rickey Reeth,NOT_IRI,105.3,108.4,630,9,85.6,5.7
Kemper Nix,LIM_STO,105.9,108.4,639,6,84.7,6.2
Zane Coppersmith,STE_HAT,120.7,108.4,341,8,90.4,5.5
Reece McDuffie,TEN_TEC,97.5,108.4,164,3,83.2,5.9
Joshua Donegan,LON_DIR,111.9,108.4,453,5,85.2,5.9
Jake Blackwell,MCN_COW,103.4,108.4,540,6,81.8,6.1
Cyle Phelan,UNC_SEA,112.2,108.4,312,5,87.6,5.9
Victor Loa,UTR_VAQ,111.1,108.4,152,4,85.4,5.7
Ryan Dusang,CHA_BUC,109.1,108.3,498,7,84.2,5.9
Julio Garcia,UNI_TEX,100.1,108.3,130,5,85.8,6.0
Wilson Perkins,DAV_WIL,99.3,108.3,976,10,85.3,5.7
Tyler Mudd,BOC_EAG,106.6,108.3,760,10,83.8,5.5
Nick Ferazzi,HBU_HUS,114.1,108.3,132,7,89.2,5.4
Mac Elske,CHA_UNI1,97.9,108.3,71,4,76.4,4.8
Jackson Underwood,CAR_EAG,98.3,108.3,435,3,81.6,5.6
Dj Andersen,CON_UNI2,105.6,108.3,60,3,85.0,6.7
Ryan Humphreys,WES_COL,108.3,108.3,276,5,86.6,5.3
Connor Maggi,KAN_JAY,105.2,108.3,202,5,80.3,4.7
Brent Stukes,NOR_GRE,107.6,108.3,89,3,85.3,6.1
John Rizzo,SBU_SEA,104.9,108.3,398,7,88.4,6.6
Jakob Russell,LON_DIR,104.6,108.3,204,4,85.0,5.0
Matthew Mariano,ALB_GRE,104.6,108.3,433,8,83.4,5.0
Maddox McDougall,JAC_GAM,96.3,108.3,591,6,83.7,5.3
Ethan Darden,CLE_TIG,99.5,108.3,678,8,86.9,5.7
Alec Nigut,SIU_SAL,100.5,108.3,170,7,84.8,5.9
Tristan Curless,ETS_BUC,105.4,108.3,163,5,83.7,6.1
Jack Walker,NOT_IRI,111.1,108.2,120,5,85.2,6.4
Jake Lynch,LIP_BIS,104.5,108.2,508,6,85.8,5.5
Isaac Morton,TEX_AGG,120.1,108.2,82,5,91.6,5.5
Cooper Consiglio,NOR_WOL,116.3,108.2,666,7,87.2,5.8
Zach Gleason,RUT_SCA,112.6,108.2,609,5,86.1,6.0
Carson Baugh,TEX_RAI,104.4,108.2,119,4,83.1,4.7
Callan Scolari,SAN_TOR,111.9,108.2,1128,8,90.1,6.3
Daxton Purser,MEX_LOB,104.8,108.2,830,5,83.3,5.7
Jay Miller,UNC_SPA,104.3,108.2,957,6,82.4,5.6
Zach Johnston,WAK_DEA,107.1,108.2,373,8,85.6,6.0
Julius Sanchez,ILL_ILL,109.4,108.2,71,3,91.6,6.3
Logan Boenker,SIM_UNI,100.4,108.2,12,2,87.0,6.6
Jobe Olson,COP_STA,108.8,108.2,89,3,82.6,5.3
Ethan Foley,CAL_BEA,109.4,108.1,781,7,87.0,6.1
Brian Hoffman,ALB_LIO,92.5,108.1,13,3,79.5,4.7
Harrison Thayer,UTR_VAQ,101.1,108.1,149,6,84.0,5.5
Sax Matson,SOU_TRO,109.5,108.1,424,8,83.3,6.2
Luke Olson,ANG_STA,123.6,108.1,18,2,88.6,6.6
Corbin Talley,NOR_DEM,100.0,108.1,77,5,83.8,6.1
Aidan Cremarosa,FRE_BUL,105.7,108.1,1158,6,83.9,6.1
Steen Bellerjeau,GRA_COL,92.6,108.1,21,2,80.1,5.6
Gerry Peacock,RIC_SPI,96.4,108.1,332,8,79.9,6.0
Brandon Rogers,CAT_IND,93.4,108.1,106,6,84.9,5.8
Creed Werker,MIL_UNI,94.4,108.1,19,2,79.6,5.6
Jacob Heppner,UTA_WOL,104.3,108.1,427,6,83.2,5.7
David Vizcaino,CAL_LAN,107.3,108.1,451,5,86.1,6.5
Evan Gibbons,SAC_HOR,103.0,108.1,1078,6,86.3,5.1
Connor Marshburn,UNC_SEA,108.2,108.1,1073,7,89.0,5.9
Oliver Duthie,UNI_BRI,101.8,108.1,88,4,79.6,6.1
Gavin Theis,UWM_PAN,102.7,108.0,486,6,86.0,5.8
England Bryan,VAN_COM,112.9,108.0,266,6,93.3,5.7
Toby Scheidt,BRY_BUL,109.9,108.0,291,7,88.6,5.7
Treyson Peters,WES_HIL,103.6,108.0,540,9,88.1,5.7
Jake Molloy,KEI_UNI,93.7,108.0,48,3,76.7,5.8
Lawson Cole,MER_BEA,97.5,108.0,277,7,81.0,6.1
Griffin Madden,JMU_DUK,118.0,108.0,432,7,88.8,5.9
Jack Nedrow,USF_BUL,108.9,108.0,826,7,87.7,5.9
Austin Morris,ALA_CRI,109.0,108.0,310,5,88.1,5.2
Chase Carson,CHA_FOR,109.5,108.0,731,7,84.4,6.0
Drew Rerick,TEX_LON,117.0,108.0,134,3,90.2,6.1
Luke Treloar,CAL_UNI,85.7,108.0,38,4,77.6,5.7
Liam Goldthwaite,WHE_C,103.0,108.0,27,2,86.0,6.3
Russ Sandefer,UCF_KNI,111.0,108.0,288,5,90.1,6.2
Jacob Moberly,TRA_UNI,101.4,108.0,52,4,78.2,5.7
George Albrecht,UTA_WOL,112.2,108.0,140,8,84.5,5.2
Trystan Levesque,RHO_RAM,104.6,108.0,1117,6,82.8,5.6
Caleb White,GEO_PAN,106.2,108.0,852,5,84.6,6.2
Brody Roe,KAN_WIL,100.7,108.0,133,6,87.1,5.6
Luke Harrington,ANG_COL,96.9,107.9,87,4,84.6,6.1
Daniel McAuliff,PIT_PAN,106.7,107.9,361,5,84.9,5.9
Christian Rodriguez,FLA_GAT,113.9,107.9,343,8,86.4,6.0
Phil Brennaman,YSU_PEN,108.5,107.9,309,4,86.7,5.7
Jason Shockley,RIC_SPI,110.8,107.9,365,7,85.9,5.7
Tyler Gebb,LON_DIR,103.8,107.9,407,4,85.2,5.8
Luke Earnhardt,NOR_GEO3,105.2,107.9,700,5,82.1,5.7
Itsuki Takemoto,HAW_WAR,97.7,107.9,206,8,84.1,6.4
Corey Costello,JMU_DUK,113.9,107.9,468,9,85.9,5.3
Daniel Fischer,FLA_COL,111.7,107.9,186,5,85.6,5.6
Conner Floyd,ORA_GOL,116.9,107.9,342,5,91.1,5.3
Logan Pikur,MIC_SPA,105.0,107.9,513,7,87.2,5.9
Duncan Marsten,WAK_DEA,106.9,107.9,127,4,91.9,6.4
John D Mitchell,AIR_FOR,110.6,107.9,209,6,88.1,6.1
Jed Boyle,STJ_RED,109.1,107.9,415,8,85.8,5.4
Mark Wilbur,SLI_ROC,99.0,107.9,45,3,83.8,6.3
Dylan Smith,CAL_FUL,104.2,107.9,449,7,85.2,5.6
Tate McGuire,ARK_RAZ,111.3,107.9,339,5,87.4,5.0
Brady Bouchard,BIN_BEA,104.1,107.9,701,6,86.4,5.7
Mason Green,BAY_BEA,107.2,107.9,230,7,85.4,6.3
Pedro Leon,HOL_CRU,113.4,107.9,226,4,85.9,5.5
Charlie Christensen,CEN_BEA,103.4,107.9,266,7,88.1,6.6
Burkley Bounds,EKU_COL,106.2,107.9,372,6,84.8,5.8
Bobby Olsen,VIL_WIL,104.8,107.8,997,9,86.3,6.0
Sean Hollister,PRE_BLH,95.5,107.8,791,9,81.6,5.0
Jared Herzog,TEN_TEC,108.4,107.8,155,4,78.2,6.2
Leo Giannoni,FGCU,99.1,107.8,226,5,75.0,6.0
Will Robbins,GEO_EAG,104.0,107.8,373,6,82.9,5.4
Anderson Tordiffe,CLA_COU,89.3,107.8,99,4,77.2,5.5
Sam Ardoin,LOU_CAJ,90.3,107.8,14,4,83.2,5.4
Zeb Hufnagle,MIL_UNI2,102.3,107.8,44,2,85.0,6.1
Grant Edwards,NEW_PRI,105.9,107.8,918,8,88.7,5.9
Austin Gaskins,ANG_COL,97.5,107.8,26,4,73.8,5.7
Matt Munn,SEW_TIG,102.5,107.8,166,4,80.5,6.8
Andrew Williams,GEO_HOY,101.4,107.8,386,5,81.9,5.6
David Shaw,CAL_BEA,111.3,107.8,851,6,85.1,6.5
Jakob Schulz,VAN_COM,127.3,107.8,82,4,84.5,6.2
Oisin Lee,NOT_IRI,112.7,107.8,294,5,84.8,6.2
Trey Sanders,SAM_BUL,109.1,107.8,192,4,85.7,5.7
Mason Smith,WIL_CAR,122.1,107.8,99,6,81.9,5.3
Wyatt Danilowicz,LOU_CAR,108.3,107.8,454,8,84.8,6.3
Niccolas Gregson,CSD_TRI,108.5,107.8,403,7,86.3,6.2
Evan Hoeckele,STJ_RED,106.8,107.8,299,7,85.8,6.0
Cameron Padgett,NOR_TAR,105.5,107.8,405,6,88.1,5.7
Bransen Angel,CAR_EAG,103.4,107.8,211,4,80.3,5.1
Aaron Savary,IOW_HAW,106.1,107.8,1153,8,81.7,6.6
Zach Robinson,UMBC_RET,101.3,107.8,160,6,84.3,5.2
William Pearson,IOW_HAW,104.7,107.8,36,3,86.3,5.5
Baker Cox,UNC_SEA,112.5,107.8,438,8,85.5,6.0
Isaac Brann,MAR_HAR,92.2,107.7,27,2,83.6,5.4
Tyrelle Chadwick,ILL_RED,101.1,107.7,877,6,89.9,6.1
Braylen Timmins,TEX_BOB,107.1,107.7,312,8,86.2,6.0
Garrett Gores,GON_BUL,105.9,107.7,621,8,85.6,6.0
Ryan Piech,XAV_MUS,116.3,107.7,1089,8,87.7,6.0
Jake Cullen,RHO_RAM,108.0,107.7,767,9,87.4,5.6
Drew Iverson,WIC_SHO,94.9,107.7,179,6,83.5,5.5
Cam Cunnings,GRA_CAN,103.4,107.7,161,5,84.5,5.4
Mason Christopher,SET_PIR,102.3,107.7,245,8,82.5,5.7
Chandler Dorsey,LSU_TIG,108.5,107.7,108,6,86.5,5.7
Jackson Yarberry,XAV_MUS,109.5,107.7,57,6,85.8,5.9
Jacob Wilson,CAL_LAN,113.4,107.7,377,6,86.9,5.3
Gavin Blachowicz,NEB,115.5,107.7,401,5,89.6,6.5
Colin Fitzgerald,MAI_BLA,108.0,107.7,770,7,87.3,5.8
Bryce McDonald,SOU_UNI,102.2,107.7,779,5,82.0,5.6
Jadon Williamson,LEW_STA,100.4,107.7,107,3,88.9,7.0
Finn Edwards,IOW_WES,114.6,107.7,45,2,90.5,6.2
Braden Castle,GAL_WCS,102.1,107.7,47,3,85.5,5.5
Josh Newell,LIN_UNI,98.5,107.7,292,6,85.0,5.8
Rodney Shultz,CIN_BEA,106.0,107.7,555,6,90.8,6.0
Cooper Morgan,CUM_PAT,101.3,107.7,420,7,83.1,5.9
Ryan Olson,UAB_BLA,104.1,107.7,342,4,83.0,5.2
Blair Shaffer,LEB_VAL,86.8,107.7,18,3,75.0,5.3
Tyner Simpson,LIM_STO,100.6,107.7,40,4,81.2,6.0
Davis Smith,GEO_EAG,106.8,107.7,619,8,92.7,5.1
Chase Nelson,TRO_TRJ,94.8,107.6,145,6,82.7,5.7
Lucas Rodriguez,NEW_PRI,101.0,107.6,129,5,83.5,5.9
Michael Yusypchuk,MIS_BEA,107.9,107.6,794,6,84.7,5.7
Brok Eddy,BLI_JC,103.7,107.6,74,4,85.6,6.0
Will Girardi,LEN_BEA,106.0,107.6,652,8,86.5,5.5
Huxley Holcombe,COR_BRE,105.9,107.6,752,9,82.4,6.1
Ryan Ure,OKL_COW,107.6,107.6,321,7,89.8,6.1
JT Blackwood,ALA_CRI,102.9,107.6,507,6,88.3,5.6
Benjamin Fiedler,FGCU,112.4,107.6,54,6,83.0,5.1
Isaac Fix,DAV_WIL,104.5,107.6,786,10,85.2,5.5
Austin Breedlove,TEN_VOL,112.7,107.6,388,6,85.8,5.8
Easton Barrett,ARI_SUN,110.3,107.6,581,7,85.3,6.2
William Schmidt,LSU_TIG,118.8,107.6,572,5,89.0,5.7
Derek Atkinson,SHO_UNI,98.2,107.6,65,4,83.4,5.5
Noah Edders,TRO_TRJ,105.0,107.6,941,8,88.0,6.1
Ethan Rembish,FDU_KNI,106.2,107.6,51,3,86.7,6.1
Mason Smith,CAM_CAM,104.8,107.6,862,9,84.5,5.5
Chance Wallace,PAC_BOX,107.3,107.6,76,1,84.2,6.2
Bryce Navarre,TEX_LON,112.9,107.6,126,5,80.5,5.6
Elian Balmaceda,STE_LUM,107.6,107.6,199,5,85.4,6.2
Bauer Burkart,MAR_THU,107.8,107.6,117,5,86.3,5.6
Liam Watt,DAL_PAT,99.9,107.6,491,6,84.5,5.6
Xavier Hirsch,NOT_IRI,100.1,107.5,313,6,83.9,5.3
Ben Whiteside,BUT_BUL,101.4,107.5,169,3,84.7,6.0
Sam Boyle,ORE_DUC,105.4,107.5,111,3,83.4,6.8
Xavier CardenasI,SAN_AZT,120.7,107.5,617,4,93.3,6.3
Joey Colucci,VIR_CAV,102.5,107.5,287,8,87.6,6.0
Cam Williams,BOS_PAR,106.7,107.5,78,4,80.9,5.4
EJ McGrew,SAN_SPA,102.3,107.5,139,5,83.2,6.0
Ryan Sweeney,TNU,101.1,107.5,91,3,81.1,5.3
Hunter Teplanszky,BAY_BEA,106.5,107.5,51,4,89.0,6.3
Ethan Brister,EAS_TEX,82.1,107.5,11,1,83.0,5.0
Alex Valentin,TEX_BOB,109.8,107.5,1114,7,86.6,5.1
Frank Camarillo,SAN_GAU,112.2,107.5,246,6,87.4,5.2
Kaden Smith,TCU_HFG,116.0,107.5,219,5,88.9,5.7
Jace Gillmore,SAN_BRO,106.8,107.5,307,5,84.6,6.2
Aidan Moza,ALA_CRI,116.2,107.5,131,4,85.4,4.9
Brandon Steele,THO_UNI,102.1,107.5,13,3,86.9,5.6
Max Moore,VCU_RAM,101.3,107.5,473,9,84.6,6.2
Chris Sleeper,BIN_BEA,102.9,107.5,121,6,86.0,6.2
Bryce DeVan,IND_UNI1,95.8,107.5,28,1,88.3,5.9
Sam Cole,UNI_WES,98.8,107.5,88,4,83.3,6.1
Michael Lindsey,NIC_COL,101.3,107.5,467,5,86.1,7.0
Liam Best,APP_MOU,117.0,107.5,608,8,89.9,5.8
Zachary Laird,IND_SYC,112.6,107.5,329,6,84.7,5.8
Kolby Parker,UNI_TEX,100.1,107.5,154,4,78.4,5.9
Alex Johnson,CON_UNI2,105.1,107.5,110,4,84.0,6.6
Landon Grigg,ULM_WAR,104.2,107.5,827,6,85.7,5.6
Justin Bowman,COL_LION,106.8,107.5,240,6,80.7,6.3
Lucas Letsinger,BAL_CAR,100.9,107.5,72,6,83.6,5.3
Sawyer Parkin,WAS_HUS,109.3,107.5,121,4,82.4,5.2
Gabe Dillard,TRA_UNI,97.1,107.5,33,3,79.9,5.2
Justin Bell,Wal_Sen,103.8,107.5,18,2,84.9,5.5
Anthony Steele,PEN_NIT,118.1,107.5,636,6,88.3,6.0
Nate Harris,KEN_WIL,106.1,107.4,805,8,88.0,5.9
Tracen Cameron,FLO_PAN,109.3,107.4,597,6,86.5,5.7
Luke Cooley,LOU_BUL,100.2,107.4,891,8,85.2,5.2
Trevor Hansen,CAL_ANT,108.9,107.4,553,9,85.7,5.3
Jimmy Wilson,MIS_COL1,101.4,107.4,43,3,80.9,6.2
Nathan Shinn,SAN_FRA3,102.7,107.4,79,4,85.8,4.8
Tate DeRias,MIA_HUR,105.8,107.4,648,7,87.6,5.6
Brady Miller,BOC_EAG,103.5,107.4,712,9,82.6,5.5
Jayden Shertel,LAM_CAR,100.4,107.4,288,5,81.0,5.0
Holden McKinney,JMU_DUK,98.5,107.4,426,8,86.6,5.1
Noah Galvan,ABI_WIL,98.3,107.4,175,6,81.9,6.3
Max Bianchini,USC_UPS,109.7,107.4,654,7,85.2,4.8
Adan Longoria,USF_BUL,101.8,107.4,315,7,84.6,6.3
Eric Valdez,NEV_WOL,111.2,107.4,458,6,85.3,5.9
Carson Byers,MIA_RED,105.4,107.4,799,5,82.3,5.6
Carlos Polanco,STU_BOB,106.5,107.4,804,7,84.8,5.5
Steve Solorzano,NMS_AGG,105.4,107.4,66,5,82.6,5.4
Wyatt Bunch,LON_LAN,99.3,107.4,455,6,84.1,4.7
Hayden Cuthbertson,MIA_RED,108.7,107.4,508,4,87.0,6.4
Tyler O'Neill,BUC_BIS,102.6,107.4,1032,8,84.0,5.7
Justin Hackett,IOW_HAW,116.6,107.4,276,6,84.6,6.4
Ryan Whitson,VIR_WIS,96.3,107.4,34,5,81.5,6.0
Luke LeMond,HOL_CRU,100.7,107.3,250,4,80.7,6.1
Jaxon Seritt,CAR_EAG,92.8,107.3,85,4,78.8,5.5
Olvis Genao,SOU_UNI,108.0,107.3,244,3,82.5,4.9
Jorge De Cardenas,USF_BUL,113.0,107.3,779,6,88.6,6.1
Harrison Wall,WHA_JUC,101.1,107.3,90,5,86.0,6.6
Stunner Gonzales,SAN_GAU,100.4,107.3,26,5,89.3,6.2
Joseph Ruzicka,BEL_BRU,112.8,107.3,1067,8,88.7,5.9
Ben Smith,MIZ_TIG,99.6,107.3,479,4,82.1,5.5
Diego Barrett,NOR_AGG,111.9,107.3,287,10,82.1,4.9
Cooper Hrbacek,ABI_WIL,100.5,107.3,148,5,81.7,5.8
Ryan Weaver,ILL_RED,98.3,107.3,401,6,81.9,5.4
Will Dean,UNI_WES,103.4,107.3,136,6,87.6,5.7
Zac Cowan,LSU_TIG,105.5,107.3,694,7,86.3,5.5
Marcus Kruzan,THO_M,108.6,107.3,163,4,84.2,6.6
Joe Husak,ILL_RED,103.6,107.3,350,7,85.1,5.2
Derek McCarley,ETS_BUC,103.7,107.3,636,6,83.1,4.7
Matt Sauser,UCF_KNI,103.1,107.3,482,4,86.9,5.5
Lucas Glover,MOU_OLV,103.4,107.3,531,7,85.1,5.7
Connor Darling,PEN_QUA,110.8,107.2,417,6,84.0,6.0
Leighton Harris,KEN_WIL,104.5,107.2,231,6,84.8,6.2
